NAME,CLASS,SUBJECT,DATE,DAY,VERTICAL,CITY,SHELTER,TIME ,CONTACT NO.,EMAIL
Neha,8,maths,9/2/2021,Thursday,ed support,bangalore,shining star shelter,16:00-18:00,8934892110,neha11@gmail.com
Aman,11,english,9/4/2021,Saturday,AS,chennai,ramasagar boys shelter,10:00-12:00,7746290332,amancool@gmail.com
Nusrat,11,physics,9/6/2021,Friday,AS,bhopal,aashray girls shelter,18:00-20:00,8792145678,nusrat.11@gmail.com
Vinay,7,hindi,9/3/2021,Tuesday,ed support,delhi ,jumping minds shelter,12:00-14:00,9021123409,vinayvins00@gmail.com
Harsh,8,science,9/14/2021,Saturday,ed support,chennai,ramasagar shelter,16:00-18:00,9145230210,harshsingh26@gmail.com
Arushi,6,english,9/8/2021,Sunday,ed support,lucknow,mumtaz girls shelter,10:00-12:00,7092104034,aarushichandra200@gmail.com
Devansh,12,hindi,9/20/2021,Friday,AS,mumbai,beautiful minds boys shelter,14:00-16:00,8901234210,devanshgupta@gmail.com
Amrit,11,biology,9/2/2021,Monday,AS,bhopal,aashray boys shelter,16:00-18:00,8430281931,amritsikka901@gmail.com 
Sejal,11,economics,9/14/2021,Saturday,AS,bangalore,shining star shelter,12:00-14:00,9782139034,sejalmehra11@gmail.com
Aisha,9,english,9/26/2021,thursday,ed support,delhi ,leelavati shelter,18:00-20:00,7902316549,aishakhan29@gmail.com 
Rashmi,12,chemistry,9/8/2021,Sunday,AS,lucknow,mumtaz girls shelter,16:00-18:00,9083457149,rashmirathore01@gmail.com
Nadeem,10,hindi,9/3/2021,tuesday,ed support,bhopal,aashray boys shelter,14:00-16:00,8903274511,nadeemmalik40@gmail.com 
Mehar,6,english,9/5/2021,thursday,ed support,bangalore,shinning star girls shelter,10:00-12:00,6767342189,meharpal21@gmail.com 
Ayaan,8,maths,9/14/2021,Saturday,ed support,chennai,ramasagar shelter,14:00-16:00,8899032180,ayaanmukherjee@gmail.com
Kevin,11,physics,9/4/2021,Saturday,AS,chennai,ramasagar shelter,12:00-14:00,9012109340,kevinthomas09@gmail.com
Manan,12,economics,9/20/2021,Friday,AS,lucknow,mumtaz boys shelter,18:00-20:00,8702103328,manankhanna11@gmail.com
Anika,12,physics,9/8/2021,Sunday,AS,mumbai,beautiful minds girls shelter,10:00-12:00,7313216178,anikaanrs@gmail.com
Shaan,12,chemistry,9/26/2021,Thursday,AS,mumbai,beautiful minds shelter,10:00-12:00,7583218903,shaanahuja13@gmail.com
Ananya,8,science,9/14/2021,Saturday,ed support,lucknow,mumtaz girls shelter,16:00-18:00,9083218312,ananyamishra30@gmail.com
